Country Name,Country Code,2015,2016,2017,2018,2019,2020,2021,2022,2023
"Hong Kong SAR, China",HKG,84.2526829268293,84.2114634146342,84.6956097560976,84.869756097561,85.1558536585366,85.4963414634146,85.5326829268293,83.6609756097561,
Honduras,HND,72.487,72.588,72.692,72.814,72.881,71.462,70.123,70.728,
Heavily indebted poor countries (HIPC),HPC,61.5946681585434,62.1416585294314,62.5295170404504,62.9271549736672,63.3181064572701,62.7448243467892,62.2852723862781,62.8252840639938,
Croatia,HRV,77.2756097560976,78.0219512195122,77.8268292682927,78.0707317073171,78.4243902439025,77.7243902439024,76.4243902439025,77.5756097560976,
Haiti,HTI,63.237,63.392,63.854,64.019,64.255,64.052,63.192,63.728,
Hungary,HUN,75.5682926829269,76.0634146341464,75.8170731707317,76.0658536585366,76.3195121951219,75.5682926829269,74.1634146341463,76.0170731707317,
IBRD only,IBD,73.1441346044111,73.4114279787187,73.6330516756842,73.9249350552497,74.1205814668351,73.370078932859,72.1262124770037,72.9134905321011,
IDA & IBRD total,IBT,70.4808222385566,70.7621189743826,70.9995074332105,71.2770140066173,71.481364150254,70.7793625967098,69.7475357708765,70.4671467913885,
IDA total,IDA,62.7157930219261,63.127522480407,63.5022497521401,63.8372725817393,64.169862820231,63.7101324636448,63.3618186626048,64.0074332547117,
IDA blend,IDB,60.3157922471837,60.5245602631319,60.8446699300444,61.0543393432782,61.3192585699951,61.0047440710329,60.6823888070765,61.2894334441231,
Indonesia,IDN,69.699,69.798,69.936,70.338,70.518,68.808,67.57,68.25,
IDA only,IDX,63.9403931369836,64.451574764543,64.8497498378811,65.2439035778193,65.6053727445142,65.0678265740479,64.702887987557,65.3642224172282,
Isle of Man,IMN,78.905,80.314,80.457,80.596,80.737,80.588,80.525,80.762,
India,IND,69.636,70.117,70.467,70.71,70.91,70.15,67.24,67.744,
Ireland,IRL,81.4536585365854,81.6536585365854,82.1560975609756,82.2048780487805,82.7024390243903,82.5560975609756,82.3536585365854,83.0560975609756,
"Iran, Islamic Rep.",IRN,75.124,75.6,75.971,76.195,76.103,74.832,73.875,74.556,
Iraq,IRQ,69.44,68.988,70.413,71.514,71.576,69.123,70.378,71.336,
Iceland,ISL,82.4682926829268,82.2048780487805,82.6609756097561,82.8609756097561,83.1634146341463,83.0634146341463,83.1658536585366,82.1707317073171,
Israel,ISR,82.0512195121951,82.4073170731707,82.5512195121951,82.8024390243903,82.8048780487805,82.6487804878049,82.5,82.7,
Italy,ITA,82.5439024390244,83.2439024390244,82.9463414634147,83.3463414634146,83.4975609756098,82.1951219512195,82.6463414634146,82.9,
Jamaica,JAM,72.394,72.02,71.911,71.793,71.767,71.869,70.5,70.629,
Jordan,JOR,75.011,75.215,75.502,75.774,76.044,75.184,74.256,74.215,
Japan,JPN,83.7939024390244,83.9848780487805,84.099756097561,84.2109756097561,84.3563414634146,84.56,84.4456097560976,83.9963414634146,
Kazakhstan,KAZ,71.97,72.41,72.95,73.15,73.18,71.37,70.23,74.44,
Kenya,KEN,61.892,62.163,62.481,62.676,62.943,62.675,61.427,62.055,
Kyrgyz Republic,KGZ,70.6512195121951,70.9512195121951,71.2,71.4,71.6,71.8,71.9,72.0487804878049,
Cambodia,KHM,69.873,70.224,70.515,70.561,70.692,70.416,69.584,69.896,
Kiribati,KIR,66.059,66.332,66.597,66.855,67.15,67.266,67.417,67.661,
St. Kitts and Nevis,KNA,70.763,71.74,71.84,71.467,71.572,71.627,71.682,72.027,
"Korea, Rep.",KOR,82.0243902439024,82.2756097560976,82.6268292682927,82.6268292682927,83.2268292682927,83.4268292682927,83.5268292682927,82.6804878048781,
Kuwait,KWT,79.562,79.701,79.781,79.722,79.685,76.92,78.673,80.264,
Latin America & Caribbean (excluding high income),LAC,74.4739718760268,74.4715396040294,74.6405960808436,74.7678088152975,74.9568695078933,72.8211448073561,71.8925576088296,73.6091669105209,
Lao PDR,LAO,66.67,67.167,67.434,67.634,68.138,68.497,68.061,68.999,
Lebanon,LBN,79.229,79.505,79.654,79.729,79.236,77.804,75.047,74.416,
Liberia,LBR,59.148,60.416,60.553,60.853,61.104,60.948,60.747,61.1,
Libya,LBY,71.698,71.756,72.482,72.794,72.463,72.472,71.911,72.151,
St. Lucia,LCA,73.138,73.112,73.127,73.357,73.445,73.416,71.111,71.294,
Latin America & Caribbean,LCN,74.6153467456489,74.5809899269173,74.7336265116992,74.8500136238664,75.0357886195834,73.0265163953482,72.1362094011984,73.7501213409412,
Least developed countries: UN classification,LDC,63.4910879470846,64.0109064266327,64.4004122819752,64.7923469499686,65.1258903357164,64.6017504849063,64.1753409199014,64.8802732533622,
Low income,LIC,61.7210524307475,62.2350417462523,62.6454844591366,63.0074146440753,63.4346116696944,62.9652953931739,62.5053450647307,63.0187828193203,
Liechtenstein,LIE,82.6560975609756,82.2585365853659,83.7463414634147,83.0414634146342,84.1609756097561,81.6585365853659,84.4024390243902,84.319512195122,
Sri Lanka,LKA,74.927,75.331,75.403,75.748,76.008,76.393,76.399,76.61,
Lower middle income,LMC,67.585390843635,67.9676859820888,68.2920404040651,68.5352942825717,68.7404552946187,68.2096238109701,66.5033255523027,67.1659174849035,
Low & middle income,LMY,70.3723506685511,70.653734324035,70.8834200003221,71.1682575000595,71.368287587454,70.7037618127909,69.6814489998854,70.350086648099,
Lesotho,LSO,51.101,52.264,53.064,53.733,54.173,54.693,53.062,53.036,
Late-demographic dividend,LTE,76.011905470381,76.2571977187085,76.3982706820151,76.7688297686968,76.9908432902863,76.7229405185737,76.3723357240641,77.1043499415742,
Lithuania,LTU,74.3219512195122,74.6707317073171,75.4804878048781,75.6804878048781,76.2829268292683,74.9780487804878,74.0365853658537,75.7926829268293,
Luxembourg,LUX,82.2926829268293,82.6853658536585,82.0951219512195,82.2951219512195,82.6390243902439,82.1439024390244,82.5975609756098,83.0463414634146,
Latvia,LVA,74.4804878048781,74.580487804878,74.6292682926829,74.7829268292683,75.3878048780488,75.1853658536585,72.9804878048781,74.580487804878,
"Macao SAR, China",MAC,83.984,84.231,84.563,84.928,84.978,85.184,85.399,85.377,
St. Martin (French part),MAF,79.309,79.475,78.59,80.614,79.983,80.149,80.379,80.55,
Morocco,MAR,72.92,73.284,73.66,73.986,74.27,73.92,74.042,74.973,
Moldova,MDA,69.24,69.917,70.516,70.492,70.935,70.166,68.846,68.621,
Madagascar,MDG,64.339,64.997,65.094,65.27,65.882,65.182,64.485,65.23,
Maldives,MDV,79.695,79.872,79.943,80.013,80.116,79.875,79.918,80.839,
Middle East & North Africa,MEA,72.8065855694486,73.0769114628075,73.5281125554958,73.7045244867728,73.8450052264577,72.8525393886868,72.6238492636692,73.0940459752852,
Mexico,MEX,74.682,74.412,74.138,74.015,74.202,70.133,70.213,74.832,
Marshall Islands,MHL,63.827,64.057,64.27,64.5,64.746,64.977,65.269,65.146,
Middle income,MIC,71.3110093683544,71.5806383997142,71.8047791777568,72.0965934977823,72.287300775665,71.6169611419382,70.5441882938138,71.2481866258607,
North Macedonia,MKD,75.4024390243902,75.4,75.9536585365854,76.6487804878049,76.6024390243903,74.3951219512195,73.2463414634146,74.4248780487805,
Mali,MLI,58.363,58.731,59.132,59.393,59.664,58.633,58.941,59.417,
Malta,MLT,81.8975609756097,82.4536585365854,82.3463414634146,82.4487804878049,82.8585365853659,82.3487804878049,82.5073170731707,82.7,
Myanmar,MMR,65.561,65.685,65.843,66.465,66.61,66.797,65.672,67.256,
Middle East & North Africa (excluding high income),MNA,71.9449582874336,72.211025104653,72.7140285449284,72.9145963153561,73.0722424625567,72.1055788239625,71.8224203926076,72.2103836349625,
Montenegro,MNE,76.4487804878049,76.4414634146341,76.4853658536585,76.8414634146342,76.6829268292683,75.9317073170732,73.8243902439024,76.1878048780488,
Mongolia,MNG,69.498,69.865,70.237,71.199,71.822,72.141,70.975,72.667,
Mozambique,MOZ,58.151,59.038,59.771,60.526,61.166,61.172,59.325,59.625,
Mauritania,MRT,64.485,64.768,65.083,65.31,65.687,64.532,64.364,64.691,
Mauritius,MUS,74.3531707317073,74.3948780487805,74.5146341463415,74.4163414634146,74.2358536585366,74.1770731707317,73.680243902439,73.5146341463415,
Malawi,MWI,61.378,62.209,62.977,63.276,64.119,63.717,62.904,62.898,
Malaysia,MYS,75.094,75.289,75.476,75.644,75.76,75.938,74.884,76.26,
North America,NAC,79.0036487303218,78.8797301086062,78.8724720142716,78.9658404447629,79.141357645223,77.462717090877,76.8726640169191,77.8387652653349,
Namibia,NAM,60.7,61.682,62.293,62.586,63.075,62.829,59.269,58.059,
New Caledonia,NCL,77.2804878048781,76.9317073170732,77.5390243902439,80.0030975609756,80.4197073170732,80.8349512195122,79.1273414634146,80.9820731707317,
Niger,NER,61.083,61.629,62.16,62.454,62.897,61.451,61.576,62.08,
Nigeria,NGA,51.841,52.043,52.305,52.554,52.91,52.887,52.676,53.633,
Nicaragua,NIC,72.983,73.256,73.554,73.85,74.054,71.795,73.837,74.615,
Netherlands,NLD,81.509756097561,81.5609756097561,81.7609756097561,81.8121951219512,82.1121951219512,81.3585365853659,81.309756097561,81.7146341463415,
Norway,NOR,82.3048780487805,82.4073170731707,82.609756097561,82.7585365853659,82.9585365853659,83.209756097561,83.1634146341463,82.5609756097561,
Nepal,NPL,67.456,68.776,68.91,68.979,69.558,69.246,68.45,70.484,
Nauru,NRU,62.269,62.702,62.988,63.234,63.484,63.437,63.617,64.014,
New Zealand,NZL,81.6124390243903,81.6585365853659,81.8585365853659,81.7073170731707,82.0560975609756,82.2560975609756,82.2073170731707,82.7609756097561,
OECD members,OED,79.7910326962093,79.9044036722622,79.9315533155999,80.0097520847235,80.2213090935305,78.8952380071515,78.6638716565587,79.6281298121431,
Oman,OMN,77.687,77.916,77.924,77.966,78.002,74.757,72.541,73.935,
Other small states,OSS,72.2869321613143,72.6256409003127,73.0248701181191,73.2393179924134,73.4544672397344,73.1675808860756,72.3874919353631,72.8992435957495,
Pakistan,PAK,65.697,65.88,66.297,66.482,66.756,66.269,66.098,66.431,
Panama,PAN,77.468,77.653,77.795,77.863,77.81,76.657,76.223,76.826,
Peru,PER,75.621,75.789,75.879,76.009,76.156,73.665,72.377,73.385,
Philippines,PHL,71.268,71.387,71.516,71.689,71.865,72.119,69.266,72.187,
Papua New Guinea,PNG,64.701,64.84,65.103,65.182,65.474,65.787,65.351,65.958,
Poland,POL,77.4512195121951,77.8512195121951,77.7536585365854,77.6024390243903,77.9048780487805,76.5,75.5024390243902,77.3048780487805,
Pre-demographic dividend,PRE,59.0688613027692,59.472141296124,59.899663962263,60.3043495034889,60.6741260357704,60.2099627732247,59.8362546793253,60.470334428071,
Puerto Rico,PRI,79.695,80.27,79.258,79.77,79.063,78.041,80.162,79.72,
"Korea, Dem. People's Rep.",PRK,72.784,72.805,72.978,73.031,73.198,73.274,73.284,73.578,
Portugal,PRT,81.1243902439025,81.1243902439025,81.4243902439025,81.3243902439024,81.6756097560976,80.9756097560976,81.3780487804878,81.5804878048781,
Paraguay,PRY,73.191,73.534,73.644,73.568,73.621,73.182,70.262,70.475,
West Bank and Gaza,PSE,74.406,74.554,74.833,74.793,75.241,74.403,73.473,73.444,
Pacific island small states,PSS,68.5661417705734,68.834464947315,69.1290314691474,69.2302311172473,69.3168650222788,69.3806413584821,69.1848210230432,69.7559713939711,
Post-demographic dividend,PST,80.3769874715474,80.5348431895951,80.5794980607462,80.6664898048029,80.8947718002546,79.9953033602829,79.7348741357758,80.1357442642629,
French Polynesia,PYF,82.354,82.488,82.618,82.783,82.996,82.217,79.486,83.55,
Qatar,QAT,80.064,80.433,80.717,80.898,80.99,79.099,79.272,81.559,
Romania,ROU,74.9121951219512,75.209756097561,75.209756097561,75.3585365853659,75.6073170731707,74.2536585365854,72.809756097561,75.3048780487805,
