Country,Year,Life_Expectancy
cuba,2018,77.496
cuba,2019,77.611
cuba,2020,77.567
cuba,2021,73.683
cuba,2022,78.155
cuba,2023,
curacao,2015,78.0756097560976
curacao,2016,77.719512195122
curacao,2017,78.0170731707317
curacao,2018,
curacao,2019,
curacao,2020,
curacao,2021,
curacao,2022,
curacao,2023,
cyprus,2015,80.966
cyprus,2016,81.056
cyprus,2017,81.328
cyprus,2018,81.382
cyprus,2019,81.397
cyprus,2020,81.391
cyprus,2021,81.203
cyprus,2022,81.889
cyprus,2023,
czechia,2015,78.5780487804878
czechia,2016,79.0268292682927
czechia,2017,78.9780487804878
czechia,2018,79.0292682926829
czechia,2019,79.2292682926829
czechia,2020,78.1756097560976
czechia,2021,77.2219512195122
czechia,2022,79.0292682926829
czechia,2023,80.0
denmark,2015,80.7024390243902
denmark,2016,80.8536585365854
denmark,2017,81.1024390243903
denmark,2018,80.9536585365854
denmark,2019,81.4512195121951
denmark,2020,81.6024390243903
denmark,2021,81.4048780487805
denmark,2022,81.3048780487805
denmark,2023,81.9
djibouti,2015,61.957
djibouti,2016,62.191
djibouti,2017,62.797
djibouti,2018,63.038
djibouti,2019,63.085
djibouti,2020,62.694
djibouti,2021,62.305
djibouti,2022,62.859
djibouti,2023,
dominica,2015,68.727
dominica,2016,70.128
dominica,2017,67.525
dominica,2018,73.59
dominica,2019,73.559
dominica,2020,73.649
dominica,2021,72.814
dominica,2022,72.981
dominica,2023,
dominican republic,2015,72.953
dominican republic,2016,72.987
dominican republic,2017,73.063
dominican republic,2018,73.232
dominican republic,2019,73.577
dominican republic,2020,72.889
dominican republic,2021,72.615
dominican republic,2022,74.17
dominican republic,2023,
east asia & pacific,2015,75.9365967944783
east asia & pacific,2016,76.1259565165813
east asia & pacific,2017,76.2011424337729
east asia & pacific,2018,76.5829004467556
east asia & pacific,2019,76.7873101376072
east asia & pacific,2020,76.7488995392737
east asia & pacific,2021,76.3821728663599
east asia & pacific,2022,76.8908803193648
east asia & pacific,2023,
ecuador,2015,76.789
ecuador,2016,76.763
ecuador,2017,76.972
ecuador,2018,77.094
ecuador,2019,77.297
ecuador,2020,72.153
ecuador,2021,73.67
ecuador,2022,77.894
ecuador,2023,
"egypt, arab rep.",2015,70.483
"egypt, arab rep.",2016,70.844
"egypt, arab rep.",2017,71.302
"egypt, arab rep.",2018,71.367
"egypt, arab rep.",2019,71.358
"egypt, arab rep.",2020,70.99
"egypt, arab rep.",2021,70.221
"egypt, arab rep.",2022,70.159
"egypt, arab rep.",2023,
el salvador,2015,71.814
el salvador,2016,72.025
el salvador,2017,72.311
el salvador,2018,72.555
el salvador,2019,72.559
el salvador,2020,71.061
el salvador,2021,70.748
el salvador,2022,71.475
el salvador,2023,
equatorial guinea,2015,60.103
equatorial guinea,2016,60.479
equatorial guinea,2017,60.821
equatorial guinea,2018,61.191
equatorial guinea,2019,61.644
equatorial guinea,2020,60.708
equatorial guinea,2021,60.594
equatorial guinea,2022,61.19
equatorial guinea,2023,
eritrea,2015,66.033
eritrea,2016,66.289
eritrea,2017,66.577
eritrea,2018,67.067
eritrea,2019,67.3
eritrea,2020,67.133
eritrea,2021,66.536
eritrea,2022,66.604
eritrea,2023,
estonia,2015,77.590243902439
estonia,2016,77.6414634146342
estonia,2017,78.0926829268293
estonia,2018,78.2439024390244
estonia,2019,78.6463414634147
estonia,2020,78.5951219512195
estonia,2021,76.9439024390244
estonia,2022,77.9439024390244
estonia,2023,78.8
eswatini,2015,55.019
eswatini,2016,56.659
eswatini,2017,57.895
eswatini,2018,59.411
eswatini,2019,60.549
eswatini,2020,59.692
eswatini,2021,57.066
eswatini,2022,56.36
eswatini,2023,
ethiopia,2015,63.649
ethiopia,2016,64.392
ethiopia,2017,64.838
ethiopia,2018,65.412
ethiopia,2019,65.838
ethiopia,2020,65.371
ethiopia,2021,64.975
ethiopia,2022,65.645
ethiopia,2023,
faroe islands,2015,81.7926829268293
faroe islands,2016,82.0439024390244
faroe islands,2017,82.2439024390244
faroe islands,2018,82.4951219512195
faroe islands,2019,82.6463414634146
faroe islands,2020,82.8975609756098
faroe islands,2021,83.0975609756098
faroe islands,2022,83.3
faroe islands,2023,
fiji,2015,66.844
fiji,2016,67.24
fiji,2017,67.79
fiji,2018,67.81
fiji,2019,67.893
fiji,2020,67.924
fiji,2021,67.114
fiji,2022,68.312
fiji,2023,
finland,2015,81.4804878048781
finland,2016,81.4292682926829
finland,2017,81.6317073170732
finland,2018,81.7341463414634
finland,2019,81.9829268292683
finland,2020,81.9317073170732
finland,2021,81.8853658536585
finland,2022,81.1878048780488
finland,2023,81.7
france,2015,82.3219512195122
france,2016,82.5731707317073
france,2017,82.5756097560976
france,2018,82.6756097560976
france,2019,82.8268292682927
france,2020,82.1756097560976
france,2021,82.3243902439024
france,2022,82.2292682926829
france,2023,83.1
french polynesia,2015,82.354
french polynesia,2016,82.488
french polynesia,2017,82.618
french polynesia,2018,82.783
french polynesia,2019,82.996
french polynesia,2020,82.217
french polynesia,2021,79.486
french polynesia,2022,83.55
french polynesia,2023,
gabon,2015,65.46
gabon,2016,65.802
gabon,2017,66.189
gabon,2018,66.306
gabon,2019,66.603
gabon,2020,66.531
gabon,2021,65.821
gabon,2022,65.694
gabon,2023,
"gambia, the",2015,62.494
"gambia, the",2016,63.013
"gambia, the",2017,62.995
"gambia, the",2018,63.04
"gambia, the",2019,63.755
"gambia, the",2020,62.612
"gambia, the",2021,62.083
"gambia, the",2022,62.906
"gambia, the",2023,
georgia,2015,73.297
georgia,2016,73.569
georgia,2017,73.57
georgia,2018,73.341
georgia,2019,73.47
georgia,2020,72.765
georgia,2021,71.694
georgia,2022,71.587
georgia,2023,
germany,2015,80.6414634146341
germany,2016,80.990243902439
germany,2017,80.9926829268293
germany,2018,80.8926829268293
germany,2019,81.2926829268293
germany,2020,81.0414634146342
germany,2021,80.790243902439
germany,2022,80.7056097560976
germany,2023,
ghana,2015,63.175
ghana,2016,63.89
ghana,2017,64.013
ghana,2018,64.122
ghana,2019,64.74
ghana,2020,64.114
ghana,2021,63.795
ghana,2022,63.945
ghana,2023,
gibraltar,2015,80.427
gibraltar,2016,81.702
gibraltar,2017,81.83
gibraltar,2018,82.154
gibraltar,2019,82.363
gibraltar,2020,82.198
gibraltar,2021,79.329
gibraltar,2022,82.83
gibraltar,2023,
greece,2015,81.0365853658537
greece,2016,81.3878048780488
greece,2017,81.2878048780488
greece,2018,81.7878048780488
greece,2019,81.6390243902439
greece,2020,81.2878048780488
greece,2021,80.0829268292683
greece,2022,80.6365853658537
greece,2023,81.6
greenland,2015,71.4790243902439
greenland,2016,71.8385365853659
greenland,2017,71.9321951219512
greenland,2018,71.9675609756098
greenland,2019,71.9443902439024
greenland,2020,71.8507317073171
greenland,2021,71.8139024390244
greenland,2022,71.5404878048781
greenland,2023,
grenada,2015,75.013
grenada,2016,74.762
grenada,2017,74.765
grenada,2018,74.808
grenada,2019,74.863
grenada,2020,74.924
grenada,2021,74.936
grenada,2022,75.335
grenada,2023,
guam,2015,76.616
guam,2016,76.877
guam,2017,77.155
guam,2018,77.439
guam,2019,77.717
guam,2020,76.612
guam,2021,76.656
guam,2022,78.33
guam,2023,
guatemala,2015,72.103
guatemala,2016,72.355
guatemala,2017,72.551
guatemala,2018,72.726
guatemala,2019,73.129
guatemala,2020,71.797
guatemala,2021,69.237
guatemala,2022,68.674
guatemala,2023,
guinea,2015,58.134
guinea,2016,58.763
guinea,2017,59.109
guinea,2018,59.349
guinea,2019,59.72
guinea,2020,59.327
guinea,2021,58.892
guinea,2022,58.985
guinea,2023,
guinea-bissau,2015,59.128
guinea-bissau,2016,59.674
