Country,Year,GDP_per_capita,Education_Attainment,Life_Expectancy,Unemployment_Rate,Happiness Score
cambodia,2016,1675.19555711109,6.24475765228271,70.224,0.716,4.168
cambodia,2017,1826.35391688754,4.92364501953125,70.515,0.141,4.433
cambodia,2018,2036.67377566578,,70.561,0.13,4.7
cambodia,2019,2225.87705485686,0.114589996635914,70.692,0.119,4.8484001159668
cambodia,2020,2081.73914242939,5.9446907043457,70.416,0.172,4.83
cambodia,2021,2167.40324198499,4.56162977218628,69.584,0.396,4.64
cambodia,2022,2325.03050040841,,69.896,0.231,4.393
cambodia,2023,2429.74853452838,,,0.225,4.341
cameroon,2015,1415.00009710569,,59.658,3.518,4.513
cameroon,2016,1441.7201725688,,60.233,3.528,4.695
cameroon,2017,1496.08951771242,,60.81,3.568,4.975
cameroon,2018,1610.69641591017,6.42238998413086,61.18,3.601,5.044
cameroon,2019,1555.22660476477,,61.584,3.622,5.08489990234375
cameroon,2020,1555.60370660749,,60.833,3.87,5.142
cameroon,2021,1672.32657340872,,60.333,3.973,5.048
cameroon,2022,1604.87726954895,,60.958,3.653,4.973
cameroon,2023,1736.86091073524,,,3.613,4.874
canada,2015,43594.1941045394,26.577808380127,81.8156097560976,6.945,7.404
canada,2016,42314.0615817218,25.75,81.9248780487805,7.038,7.316
canada,2017,45129.628116623,27.9425659179688,81.8329268292683,6.426,7.328
canada,2018,46539.1761570405,28.5200099945068,81.8439024390244,5.837,7.278
canada,2019,46352.8693445211,29.7712154388428,82.2239024390244,5.69,7.23210000991821
canada,2020,43537.839298904,30.970832824707,81.6604878048781,9.657,7.103
canada,2021,52496.8441693242,29.3299999237061,81.5870731707317,7.527,7.025
canada,2022,55509.393176404,32.3500862121582,81.2956097560976,5.279,6.961
canada,2023,53431.1857063879,32.88818359375,,5.415,6.9
central african republic,2016,387.176203444318,,53.46,5.491,2.693
central african republic,2017,432.324025684263,,53.721,5.534,3.083
central african republic,2018,455.243962859534,,54.369,5.517,3.083
central african republic,2019,449.228467602439,1.81203997135162,55.025,5.607,3.47589993476868
chad,2015,747.588448455507,,51.589,0.974,3.763
chad,2016,668.078636142918,,52.083,1.047,3.936
chad,2017,640.117048532702,,52.308,1.116,4.301
chad,2018,695.642393675941,2.73194313049316,52.825,1.135,4.35
chad,2019,678.142035723965,1.75650000572205,53.259,1.084,4.42269992828369
chad,2020,622.095543396442,,52.777,1.707,4.355
chad,2021,660.747192555507,,52.525,1.548,4.251
chad,2022,671.720147647873,,52.997,1.096,4.397
chad,2023,680.639877912029,,,1.074,4.471
chile,2015,13433.9202985339,13.1000003814697,79.746,6.313,6.705
chile,2016,13649.8520455553,13.9364814758301,80.079,6.673,6.652
chile,2017,14879.9086230423,14.6400003433228,80.35,7.257,6.476
chile,2018,15659.4808675628,15.5733489990234,80.133,7.623,6.444
chile,2019,14495.716721687,15.9265537261963,80.326,7.493,6.22849988937378
chile,2020,13114.815470545,19.1351909637451,79.377,10.934,6.172
chile,2021,16216.5706467899,19.6066036224365,78.944,9.281,6.172
chile,2022,15451.1319576678,20.2825660705566,79.519,8.249,6.334
chile,2023,17067.8136150601,21.5449905395508,81.4,9.013,6.36
china,2015,8016.44559489998,,76.977,4.65,5.245
china,2016,8094.39016735149,,77.218,4.56,5.273
china,2017,8817.04560829162,,77.248,4.47,5.246
china,2018,9905.40638304527,,77.744,4.31,5.191
china,2019,10143.8602206165,,77.968,4.56,5.12389993667603
china,2020,10408.7195541075,7.67999982833862,78.077,5.0,5.339
china,2021,12617.5051041181,,78.211,4.55,5.585
china,2022,12662.5826712038,,78.587,4.98,5.818
china,2023,12614.0617416421,,,4.67,5.973
colombia,2015,6248.51490534512,10.3000001907349,76.257,8.572,6.481
colombia,2016,5959.84250367574,10.8999996185303,76.471,8.922,6.357
colombia,2017,6479.53231292429,,76.646,9.086,6.26
colombia,2018,6816.96818309544,11.7600002288818,76.748,9.36,6.125
colombia,2019,6472.54544924705,12.0699996948242,76.752,10.28,6.16340017318726
colombia,2020,5339.68711357943,12.8500003814697,74.769,15.983,6.012
colombia,2021,6222.62164397614,,72.83,13.898,5.781
colombia,2022,6674.59601948063,16.20046043396,73.659,10.547,5.63
colombia,2023,6947.35928681966,16.4727363586426,,9.594,5.695
comoros,2015,1329.37048235986,,62.896,4.121,3.956
comoros,2018,1540.71132257526,,63.912,3.942,3.973
comoros,2019,1519.26386436068,,64.068,3.934,4.28859996795654
comoros,2020,1527.16991011916,,64.166,4.471,4.289
comoros,2021,1584.12450153608,3.31192517280579,63.417,4.394,4.609
comoros,2022,1489.49566257969,14.056170463562,63.68,3.816,3.545
comoros,2023,1590.31237688317,,,3.776,3.566
"congo, dem. rep.",2015,467.9145805459,,58.49,4.439,4.254
"congo, dem. rep.",2016,442.310472110228,3.48000001907349,59.066,4.521,4.285500000000001
"congo, dem. rep.",2017,436.584534687385,,59.411,4.601,4.402
"congo, dem. rep.",2018,528.256019777898,7.4141697883606,59.942,4.618,4.615
"congo, dem. rep.",2019,557.044161335917,,60.276,4.591,4.752699851989745
"congo, dem. rep.",2020,507.521230077872,,59.739,5.345,5.342
"congo, dem. rep.",2021,558.034077296358,,59.193,5.28,5.075
"congo, dem. rep.",2022,642.612265820033,,59.743,4.522,4.237
"congo, dem. rep.",2023,627.502181690836,,,4.484,4.258
costa rica,2015,11714.7105980732,21.2999992370605,79.086,8.415,7.087
costa rica,2016,12091.0301606154,20.6299991607666,79.459,8.085,7.079
costa rica,2017,12317.0902771304,,79.377,7.729,7.072
costa rica,2018,12590.2493781614,21.3099994659424,79.484,9.01,7.167
costa rica,2019,12884.6859951989,,79.427,10.807,7.12139987945557
costa rica,2020,12394.0493969492,21.6100006103516,79.277,16.432,7.069
costa rica,2021,12838.1185358931,,77.023,15.139,6.582
costa rica,2022,13625.9008491328,,77.32,11.325,6.609
costa rica,2023,16942.0268119375,,81.0,8.325,6.955
cote d'ivoire,2015,1814.71855088017,,57.762,2.579,3.916
cote d'ivoire,2016,1862.59597081287,3.45458006858826,58.06,1.896,4.18
cote d'ivoire,2017,1964.29930338343,,58.48,3.272,4.671
cote d'ivoire,2018,2130.86619381144,,58.849,2.85,4.944
cote d'ivoire,2019,2141.76836170115,5.22612524032593,59.319,2.401,5.23330020904541
cote d'ivoire,2020,2179.72934832935,,59.032,2.584,5.306
cote d'ivoire,2021,2455.98127641148,4.98000001907349,58.598,2.63,5.235
cote d'ivoire,2022,2308.70654660366,4.76513671875,58.916,2.306,5.053
