Year,Country,GDP_per_capita,Education_Attainment,Life_Expectancy,Unemployment_Rate,Happiness Score
2015,Belize,6154.49593498217,2.56925010681152,73.187,7.578,5.956
2023,Benin,1394.37330217623,3.06135010719299,72.58098800992877,1.657,4.377
2022,Benin,1264.70765976655,4.79155015945435,59.954,1.685,4.374
2021,Benin,1318.83497843483,3.06135010719299,59.821,1.779,4.623
2020,Benin,1197.50136428063,3.06135010719299,60.088,1.502,5.045
2019,Benin,1130.82135304977,3.54480004310608,60.454,1.214,5.21600008010864
2018,Benin,1151.74096952152,0.0,60.14,1.41,4.883
2017,Benin,1054.97408141687,2.53311991691589,59.856,1.659,4.141
2016,Benin,1010.53389609187,3.06135010719299,59.539,1.784,3.657
2015,Benin,1002.41886882564,3.06135010719299,59.377,1.82,3.484
2018,Bhutan,3400.20417159422,10.1999998092651,71.129,3.35,5.082
2017,Bhutan,3435.28804814561,10.1999998092651,70.847,3.016,5.082
2016,Bhutan,3152.30905081592,10.1999998092651,70.602,2.705,5.011
2015,Bhutan,2954.04081973327,10.1999998092651,70.343,2.45,5.196
2023,Bolivia,3686.27996490544,17.8769969940186,72.58098800992877,3.024,5.784
2022,Bolivia,3643.92826968677,16.893159866333,64.928,3.552,5.684
2021,Bolivia,3384.84486479247,16.2906856536865,63.63,5.089,5.6
2020,Bolivia,3099.94219044572,26.8199996948242,64.467,7.903,5.716
2019,Bolivia,3503.8960106182,24.7000007629395,67.841,3.682,5.74749994277954
2018,Bolivia,3500.72642189371,14.3088550567627,67.748,3.519,5.779
2017,Bolivia,3306.30301176558,14.1513919830322,67.701,3.655,5.752
2016,Bolivia,3035.8734778704,13.4819030761719,67.628,3.498,5.823
2015,Bolivia,2996.01289804214,22.3299999237061,67.318,3.111,5.822
2023,Bosnia And Herzegovina,8638.66620201187,11.276029586792,72.58098800992877,10.668,5.877
2022,Bosnia And Herzegovina,7655.59421024383,12.289999961853,75.293,12.657,5.633
2021,Bosnia And Herzegovina,7295.3438240957,11.7022619247437,75.3,14.897,5.768
2020,Bosnia And Herzegovina,6130.31133245161,10.5900001525879,76.225,15.868,5.813
2019,Bosnia And Herzegovina,6122.3753450882,6.99687480926514,77.241,15.692,5.67409992218018
2018,Bosnia And Herzegovina,6047.84584261133,7.75,77.093,18.4,5.386
2017,Bosnia And Herzegovina,5345.01985489192,7.18639755249023,76.935,20.527,5.129
2016,Bosnia And Herzegovina,4928.5665251728,8.38000011444092,76.808,25.408,5.182
2015,Bosnia And Herzegovina,4662.25883724069,7.55000019073486,76.182,27.695,5.163
2023,Botswana,7820.23240375076,9.64603805541992,72.58098800992877,23.381,3.383
2022,Botswana,8329.04032229144,9.51717185974121,65.913,23.615,3.435
2021,Botswana,7808.20623956293,8.84055423736572,61.141,23.106,3.471
2020,Botswana,6323.31419156209,8.33574199676514,65.647,21.017,3.467
2019,Botswana,7172.08956480028,8.1895227432251,65.464,20.094,3.47889995574951
2018,Botswana,7407.95940141786,8.84055423736572,65.422,19.681,3.488
2017,Botswana,7104.96401088027,8.84055423736572,66.753,19.664,3.59
2016,Botswana,6749.05994339013,8.84055423736572,65.464,19.329,3.766
2015,Botswana,6141.20394726616,8.84055423736572,63.818,18.93,3.974
2023,Brazil,10294.866680778,15.7299995422363,72.58098800992877,7.947,6.272
2022,Brazil,9281.33334441234,15.7299995422363,73.425,9.231,6.125
2021,Brazil,7972.53665048385,15.7299995422363,72.75,13.158,6.293
2020,Brazil,7074.19378281866,15.7299995422363,74.009,13.697,6.33
2019,Brazil,9029.83326742175,15.7299995422363,75.338,11.936,6.37559986114502
2018,Brazil,9300.66164936497,16.5400009155273,75.109,12.329,6.3
2017,Brazil,10080.5092817775,15.7299995422363,74.827,12.792,6.419
2016,Brazil,8836.28652636996,15.3500003814697,74.442,11.58,6.635
2015,Brazil,8936.19661756825,15.7299995422363,74.332,8.538,6.952
2023,Bulgaria,15885.5391311331,25.13441371917725,75.8,4.319,5.463
2022,Bulgaria,13644.201582807,26.3977317810059,74.3609756097561,4.268,5.466
2021,Bulgaria,12274.0775950496,26.2697563171387,71.4634146341463,5.267,5.371
